Text,Classification,Length
"The drill string of 3-1/2'' DP was composed of two types of DP the G 105 and S 135. When pulling out of hole and laying down joints, G 105 were laid down first with no problem. A first joint of S 135 came out and was positionned in the V-door. The driller asked the roughnecks to reposition the S 135 in order to separate G 105 from S 135. To do this, a roughneck stands at the tugger to elevate the DP and the other stands by to control and reposition the DP. An incorrect elevator was used, the ID of the same was bigger then the OD of DP's tool joint and the pipe was free to slide; at this point the elevator came free hitting the roughneck in the face.",HiPo Incident,657
"A gasket leak was found on the dehydration regeneration circuit.  During a routine check, a gas leak was detected.  On investigation a gas leak was discovered at the downstream side of the non return valve on the dehydration regeneration line.  A Lower Explosive Limit (LEL) check was immediately carried out and this confirmed an LEL reading of 60% approximately 10 metres downwind of the leak.  This was reported to the Central Control Room (CCR) and Shift Superintendent.  A second visit was then carried out with the Shift Superintendent and discovered the leak had ceased due to increased regeneration temperature expanding the pipe work thus stopping the flow.",HiPo Incident,666
"A field specialist was performing an injectivity test for a well. Coiled Tubing (CT) reel had to be spotted on the I-beam which was 1.5m above the deck floor. To get a clearer view for spooling, the field specialist had to stand on top of a container which was 2.45 m above deck level to give a signal to the Coiled Tubing operator inside control cabin. Later, he noticed the portable crane boom was swinging very fast towards where he was standing. He jumped off the container and landed on both legs but slipped due to the wet and slippery floor caused by heavy rain. He suffered tenderness at several locations of his body and some bones were suspected to be broken.",HiPo Incident,669
"A Transport Truck arrived on location to pull a load of Condensate. When preparing to hook up to the tank and open the valves, the driver observed a leak coming from the bottom of Condensate Tank # 1. The Field Operator was notified, and he proceeded to the location to assess the situation after dispatching more trucks to offload the condensate. The operator found a small hole at the bottom of the tank and was able to temporarily stop the leak. The Condensate Tank was emptied and trucks arrived on location to begin the cleanup. It was calculated that approx. 11 bbls of condensate spilled and all of the fluid was contained inside the lined secondary containment.",HiPo Incident,669
"During commissioning of a new compressor, the compressor was due for a 4 hour long test (continuous operation). It was planned that regulated air pressure, from a compressed-air tank (maximum capacity of 50 m3), would be used.  The air pressure was to be regulated between 25 and 27 barg, using bleeding equipment consisting of a 5m long 2"" hose (connected to the tank by a flange), with a ball valve and a silencer at the free end. During the operation the silencer exploded and the hose moved about in an uncontrolled fashion, causing injury to personnel and material. The ball valve had broken off and the hose was in continuous movement for approximatly 15 minutes.",HiPo Incident,669
"Contractors were issued a hot work permit as part of a major overhaul activity on a crude oil tank. During the contractors lunch break the operations department conducted draining operations on a crude oil tank upstream of the contractors work area. The contractors returned to work and started a mobile generator that ignited vapours from the crudeoil/water in the drain channel. Potential for 2 fatalities. Immediate causes: Poor planning of draining operations, Ineffective continuous monitoring, Lack of communication, inadequate risk assessment regarding concurrent operations. Root Cause: Failure in the administration and application of the Permit to Work System.",HiPo Incident,670
"A fire caused by tube failure on a mol sieve regen heater resulted in US$170,000 damage, but no injuries.  When a regen gas tube in the upper section of the regen gas heater ruptured at about 150 psig, regen gas escaped into the heater plenum and ignited.  A regen gas heater shutdown alarm was received in the control room. The operator left the control room to check the shutdown, immediately saw the fire, initiated fire alarms, and started firewater pumps. Other operators/plant personnel started fire monitors to cool surrounding equipment and used a 1-1/2 inch fire hose to cool the DCS conduit. Closing the remote inlet valve to the heater immediately killed the fire.",HiPo Incident,675
"Following the cementation of the 7"" liner and during the subsequent circulation of the wellbore drilling fluids, an explosion of unknown origin occurred on the rig drill floor. This resulted in two steel plate access panels and drain covers in the rig floor above the electric motor compartment underneath the rig floor being lifted and displaced. Prior to the ignition a LEL (gas) detector located in this compartment had activated which initiated a general muster of all personnel. The well was shut-in and made safe with the drill crew proceeding to muster with the exception of the Toolpusher and Driller who remained in a safe area on the drill floor to monitor the well.",HiPo Incident,676
"At about 1645 hrs, the contractor's crew was having difficulty removing the MOV Actuator from the valve due to severe corrosion between two items. A technician assisted in performing the job and proceeded to use a hydraulic hand jack and chisel to split the MOV actuator from the valve. While he was hammering the chisel, suddenly the chisel gave way and flew into the air then penetrated through the left eye brow of a person who was observing the job nearby. He sustained a lacerated wound with a 3 cm entry site and 1 cm exit site. Medical treatment was given by the medic on board, then he was referred to the nearest clinic the next day for further observation and treatment.",HiPo Incident,680
"At about 14:45 on the North side of a compressor on ground level an air-blowing pre-commissioning activity was ongoing. The pressure released from the 10"" (inch) diameter pipe blast blew off an empty cable drum (around 2m diameter and 50 kg) located at about 5m in front of the pipe. The ""projectile"" rolled on a distance of 15 meters and hit a passer-by (contractor) on the back of his lower left leg. He received a big shock and fell-down on the paved ground floor. He was stabilized by the medical team before to be taken to the site clinic. The victim underwent an X-ray (negative result, no fractures) and a Voltaren injection. He returned to work the next day in the morning.",HiPo Incident,681
"A skid-mounted land operated drilling rig was being road transported to the Onshore Terminal construction site (a distance of approximately 80km). The drilling rig was loaded onto a trailer and bolted down to the trailer. The trailer was pulled by a 4x4 vehicle. The trailer has no shock absorbers with the result that it does not ride smoothly. During the journey, the bumper/tow bar on the 4x4 broke away, the trailer inclined forward until the tow bar hit the road. The trailer then skidded along the road for about 20 ft until it hit the hard shoulder. At that point, the trailer tipped over, the bolts securing the rig to the trailer broke and the rig catapulted from the trailer.",HiPo Incident,685
"A spacer ring, weighing 2,2 kilos, fell from a work platform under the crane tip to a walkway 12 metres below and missed a person who was walking there by 0,5 metres.  No personnel were injured, however the potential event was severe injury to personnel, possibly fatal.  The hazard of losing tools and equipment was not identified in the risk evaluation.  Protective barriers were not required in the permit to work, the crane(s) were not locked during the maintenance work.  Generally the work preparation and information preceding the work was inadequate.  The requirements for working in heights and work preparations for cold work were not sufficiently addressed in the procedures.",HiPo Incident,686
"An explosion occurred at the construction site resulting in 4 instant deaths and 17 injured 4 of them with serious injury, one of them dying the day after. After investigation, it was found that the construction team was storing gas cylinders (oxygen &amp; acetylene) in a container every evening. In order to avoid theft of the equipment at night, the worker would tag weld the doors of the container. The accident occurred when the workers were in the process of grinding the welds to open the doors. No bottle was found exploded, and we can assume that an accumulation of acetylene from a leaking cylinder was ignited by the sparks of the grinding machine used for breaking the welds.",Fatal Incident,687
"A 10 tonne truck crane was used to lift a bar bending yard to a tankage construction area. The lifting work was monitored by an area HSE Promoter. After the rebar was loaded onto the truck crane, the operator went down to the outrigger control point to retract the outrigger. The rigger climbed out and stood on the right extended rear side to set and push some protruding rebars into the crane bucket. While the operator on duty retracted the rear side of the outrigger, he heard the rigger scream. The job was immediately stopped. The HSE Promoter and a nearby staff rushed to the incident area and found the rigger's legs trapped in between the upper portion outrigger and the crane•À_s body.",HiPo Incident,694
"A contractor was performing well servicing operations.  The crew had completed their work for the day and were in the dog house changing their clothes.  When the crew remembered that they needed to fully open a surface casing valve to relieve pressure on the casing, one employee who had already changed out of his work clothes went alone to open the valve.  Although no other employees witnessed the accident, it is believed that when the employee opened the ball valve, the blow down line whipped across the location and struck him simultaneously in both legs. His legs were broken and subsequently both legs had to be amputated. The employee also sustained a fracture of the right shoulder scapula.",HiPo Incident,701
"After performing a flow check on a wiper trip, the driller ran the blocks up the derrick for another stand.  The derrickman had been sitting in the heated shelter (-30 degrees C working conditions) during the flow check.  The derrickman exited the shelter and communicated that he was ready, however he had removed the lateral restraint line while in the shelter and failed to re-attach prior to beginning work.  He grabbed the stand and proceded to throw it in the elevators.  Expecting the support of the lateral restraint, the worker lost his balance and fell into the elevators.  The worker was wearing his full harness and fall arrest line, which engaged.  Worker sustained only a minor cut above his left eye.",HiPo Incident,715
A Bi-directional Pig was being launched from a temporary pig launcher to de-water a pipeline after hydrostatic testing. The motive power for the launch was air supplied through a flexible hose from a mobile air compressor. The air compressor was started and the air supply to the launcher was isolated by a single block valve. The Safety Officer was standing at the door of the launcher checking the correct position of the pig when the bi-directional pig reversed back out of the launcher door and hit him in the face causing serious injuries. A Detailed Investigation determined that a Job Hazard Analysis should have been conducted and implemented to manage the hazards associated with this non routine operation.,HiPo Incident,716
A Bi-directional Pig was being launched from a temporary pig launcher to de-water a pipeline after hydrostatic testing. The motive power for the launch was air supplied through a flexible hose from a mobile air compressor. The air compressor was started and the air supply to the launcher was isolated by a single block valve. The Safety Officer was standing at the door of the launcher checking the correct position of the pig when the bi-directional pig reversed back out of the launcher door and hit him in the face causing serious injuries. A detailed investigation determined that a Job Hazard Analysis should have been conducted and implemented to manage the hazards associated with this non routine operation.,HiPo Incident,716
"A bundle of drill pipe was being lowered into a storage bay with two tag lines attached and under the control of two personnel. At approximately six feet above the deck, the load suddenly swung due to the motion of the rig, and the end of the bundle collided with an adjacent oxy-acetylene cylinder rack frame. The cylinder rack was knocked over onto the gantry crane track and came to rest. This caused three of the six cylinders within the rack to dislodge from the rack and they came to rest adjacent to the rack. The three cylinders which became dislodged had caps protecting the valves, however two of the other cylinders did not. The closest observer was approximately 8ft away from the rack at the time of incident.",HiPo Incident,722
"At approx 2:30 pm both waterflood turbines went down apparently due to high flow or overspeed.  Several operators went to investigate and discovered an underground leak near the lateral isolation valves.  They put on air packs and attempted to close the isolation valves.  The catwalk was inaccessible due to hot water spray, so the operators walked on the east lateral to reach the valves.  An operator slipped and fell on the ground in several inches of hot water, burning his left side.  The operator was carried to the waterflood control room for first aid.  Several minutes later the 10inch underground 'jumper' line connecting the east and south laterals ruptured, creating a large hole and releasing produced water.",HiPo Incident,722
"Contractor crew were loading a tubing elevator into a metal storage box at the main deck using the port side crane. The box cover could not be secured in the open position using the support bar due to the unit being in close proximity. The victim was holding back the box cover and resting his left hand on the edge of the box. After the load was released, the signal man signaled to the crane perator to pick up the block. While the crane block was being picked up, the sling thimble hung up on the box edge and the cover fell down into the closed position on the victim's left thumb. He sustained a fracture of the left thumb with superficial abrasion, and was medivaced to the base for further medical evaluation and treatments.",HiPo Incident,731
"While attempting to repair the stripper column overhead pressure control Valve that had failed closed, two operators were trying to maintain the column operating pressure utilising a bypass globe valve around the column overhead relief valve. There was not a dedicated specification bypass around the failed control valve. Whilst adjusting the globe valve to adjust the column pressure the 3 inch bypass line root weld connection to the 18 inch flare line failed causing a major toxic gas release which resulted in the activation of the plant isolation and blowdown system. Potential for 4 fatalities. Immediate causes: Using a system for which it was not designed inadequate risk assessment. Root Cause: lack of operating procedures",HiPo Incident,733
"At 13:00 hrs a senior production crew were working to refill Emulsotron RL 6321, a flammable chemical into a daily tank from drum by opening the valve of connection hose with a small stream and using elevation method. The location of the daily tank was close to one of the open drain line access points on the main deck. At the same time Welders start working to joint a 4"" open drain line underneath the main dek. A pop sound was heard at 15:00 hrs, all concerned tried to find the source the  sound and found a small fire in the chemical tank area. The small fire were safely extinghuised at 15:02 hrs, by production and safety team using a portable CO2 extinguisher  (1ea). The fire could have spread due to chemical drums in surrounding area.",HiPo Incident,746
"Whilst drilling with the elevators approximately 1-1.5 meters above the rotary table, the Driller stated that he was picking up to make a connection when a larger heave than had been experienced came through, resulting in the attempt to pull-out of the hole quickly to stop the elevators from making contact with the drill floor. The subsequent series of actions resulted in the blocks impacting the drill floor in an uncontrolled manner. As a consequence, the drill line paid out rapidly from the draw-works and severed at the wire retention socket of the (draw works) drum. Following the severing of the drill-line, approximately 60 meters of 1 •À__ inch drill line was projected up the derrick, over the fast line sheave and fell to the drill floor.",HiPo Incident,750
"During implementation of hot jobs associated with dismantling of a pipeline (•À_•À_=426x8mm) at a decommissioned Central Processing Facility within a central gathering facility by a crew of 4 persons, a pop of gas with following ignition took place. At 14:15 the ignition was extinguished by resources of the fire unit. As a result of the ignition burns on various parts of the body were received by an electric and gas welder of grade 5. The casualty was rendered first pre-doctor aid, after which by an ambulance the casualty was transported to resuscitation department of the city hospital. The diagnosis:  thermal flame burns of the head, back, buttocks, back surface of hips of level 1-3 up to 50% of the body surface. Compensated burn shock of level 1-2.",HiPo Incident,756
"A truck was delivering interconnecting concrete beams to the retaining wall area. While traveling down the hill to the retaining wall site, the truck's front wheel sank into a soft spot on the edge of the road. The driver had a couple of workers fill in the soft spot with rocks and then the truck proceeded to drive down the hill. As the truck's rear wheel went through the soft spot, the wheel sunk due to the weight of the concrete beams, and tipped the back of the truck causing some of the concrete beams to fall. One of the workers who had placed the rocks in the soft spot was struck by and pinned between the beams and the soft hillside. The beams were lifted off the worker and he was taken to the hospital. Injured person suffered multiple fractures.",HiPo Incident,760
"During the off-loading of containers from the supply boat to the offshore platform, the first officer was directing the operation, but located in a blind spot.  As the lifting began, the first officer was trapped by a guide rope hanging from the container with a loop at the end, and was dragged against the bannister of the boat. The crew was unable to release him and they had to open the bannister letting the man fall into the water, since the vessel was moving away from the platform. The crew threw him a life buoy and launched the life boat. Thirty minutes after falling into the water, the rescue team managed to cut the rope and move him onboard the platform for medical attention and helicopter evacuation. The officer suffered multiple leg fractures.",HiPo Incident,761
"On attempting to start a compressor, it was found that it failed. The problem was discussed and it was concluded that it could be down to the circuit breaker which had given rise to similar probems in the past. The circuit breaker (13.5kV) was racked out of position and the start relay operation observed and seen to be working correctly. The circuit breaker was then racked back into postion. However, the breaker was in the closed position and should have been prevented from being racked into postion by electrical and mechanical interlocks. These failed to operate and the result was and explostion within the circuit breaker cubicle which destroyed the breaker and caused some minor burns on one of the electrical technicians. Could have been 2 fatalities.",HiPo Incident,762
"After completing the bottom hole flowing pressure survey (BHFP), a dummy valve was run and got stuck at 100 ft. and lost its jar action.  After unsuccessful attempts to release the stuck dummy valve, it was decided to drop the cutter to cut the wire above the tool string.  While preparing for the above operations, the cross over connecting the lubricator with x-mass tree cap slipped off, leading to an uncontrolled pressure release to the atmosphere.  The helper who was standing on the wellhead platform near by the cross over was blasted in the face by well pressure before he jumped to the ground to escape. The supervisor on site immediately closed the swab valve and kept the well under control.  The injured person was evacuated to the hospital by ambulance.",HiPo Incident,767
"While transporting 2 pipes a contractor trailer was being towed by a bulldozer with a steel rope. At a distance of 100 m from the bottom of the hill, the tow rope of the tandem-axle semitrailer suddenly broke away  because of a sudden jerk of the trailer by the bulldozer. Thus two pipes and the semitrailer rolled back down to the bottom of the hill. There was damage to the pipes and the semitrailer body only. The SWL of the rope was 18t, the total weight of the pipes 15t. The total weight of the tandem-axle semitrailer body was 1.5t. But the rope's clips did not withstand the weight of the load and the rope slipped out of the clips. The clips were not tightened properly before the work. That was not checked by either the driver or mechanics before the trip.",HiPo Incident,767
"While a contractor was carrying out mechanical excavation, 5 fiber optic communication cables were cut. Due to the cut, all communication between the Central Degassing Station (CDS) and five Remote Degassing Stations (RDS) was lost and all RDSs were shutdown resulting in loss of production volume approximately 30,000 bbls.  Two production trains were also shut down at CDS.  Due to the shut down at RDS No. 5, high pressure developed in a flowline from Bb-300 causing flowline rupture, resulting in estimated spillage of 37 bbls of crude oil into the ground and release of gases into the air.  Bb-304 flowline also developed a pinhole leak. The Remote Degassing Stations started back and wells no. Bb-300 &amp; 304 were closed and flowlines were isolated for repair.",HiPo Incident,768
"Backfilling of excavated trench of a 12"" gas pipeline with sand was in progress with the help of a Tipper Truck in the field. During this operation, the driver of the Tipper Truck took the vehicle in reverse direction close to the excavated site and unloaded the sand directly from the tipper truck to excavated trench. After this operation, the driver forgot to reset the tipper body to its original position and took forward the vehicle in the same condition. In the process he also ignored watching the 11 KV overhead electrical transmission lines which are just above the site.  As a result, the front portion of the Tipper which was in elevated position hit with the electrical high voltage transmission line.  Fortunately nothing happened. No Injuries. No damages.",HiPo Incident,770
"Steam Turbine Alternator Catastrophic Failure. The fracture and drop out of an internal bracing bar in the fan housing caused the No. 1 steam turbine fan to break up.  This shattered the gearbox pinion bearings and stripping of the turbine coupling bolts.   The coupling parted, and the tails of the coupling bolts were bent up into the open coupling faces. The physical damage caused variation in oil pressure which allowed the governor valves to open, probably fully, to try to restore turbine speed to the set point.  The effect of the steam flow into the turbine, which was disconnected from the gearbox etc, caused massive turbine acceleration.  In turn this led to centrifugal loss turbine blades, causing imbalance and bending of the shaft leading to its failure.",HiPo Incident,770
"While flowing well to the test separator and diverting produced water to filtration vessel for filtration, a vessel hatch cover came loose sending produced water and the cover into the air. The cover measured 13.75•À_•À_ x 17.65•À_•À_ and weighed approximately 15 lbs. After traveling an estimated 25•À_ in the air, it landed several feet away from the filtration unit on the top deck. Although personnel were in the area of the unit, no injuries occurred and all the liquid was contained by secondary containment. The equipment was immediately shutdown, the carbon vessel was taken out of service and the area was secured. A facility investigation was completed the following day and the team determined the filter and cover had not been properly installed at the fabrication yard.",HiPo Incident,773
"The involved person (IP) was part of a work team on night shift for external fence erection. The shift started at 21.00 hrs. The IP wandered outside of the work area without informing either his supervisor or his colleagues. This was shortly after arrival at the worksite. At the end of the shift it was noticed that he was missing but assumed that he had gone back to the camp. Upon arriving at the camp a search was initiated with no results. The morning shift arrived at 0500 and found a person lying badly injured at the bottom of a cliff near the work area. The IP was found and medics mobilised. He stabilised and medevaced to the nearest hospital by road. It was later discovered that a tree had broken the IP's fall, although he still sustained severe head injuries.",HiPo Incident,774
"Casing was being racked in stands in the derrick using the offline work station and Pipe Racking System (PRS). The 41st stand was racked in the fingers and the latch (restraining device) was observed to be down. The PRS was then retracted to collect the next stand. Shortly afterwards, stand 41 fell across the derrick and lodged precariously on the end forward casing finger. The drill floor was cleared of personnel and a plan was devised to recover the stand of casing using an air tugger. During the recovery attempt, the casing fell to port and landed on the port crane (boom wire) where it bounced and the top joint (45ft of casing) fell overboard into the sea. The other 2 joints of casing came to rest on the end of the crane boom with the lower end on the drill floor.",HiPo Incident,777
"A Contractor Company crew was performing workover of the well pad. At 16:30 when pulling out of the hole with NV-32 pump, making up of an adjusting semi-rod on the polished rod resulted in sponateous movement of fully unloaded rod string downwards. This resulted in squeezing of the right hand of a senior operator between the sucker-rod tongs and the guide nipple. The casualty was rendered first pre-doctor aid, an ambulance was called in, the casualty was transported to the city hospital. The diagnosis: open fracture and displacement of the base of the main phalanx on the right hand finger 1, subcapital fracture of the main phalanx on the right hand finger 1, open fracture of nail phalanx on the right hand finger 1, avulsive wounds on the back surface of the right hand.",HiPo Incident,779
"Workers were found to have removed an earthing resistor without having a permit to work or any authorization to enter the transformer area. The earthing resister was connected to the live 33kV busbar at substation #3. This area was clearly defined by CSU orange fencing and warning tape. The cable connecting the 33kV switchboard transformer resistor had been disconnected from earth at the secondary side of the transformer, thus leaving the 33kV switchboard without earth fault protection, as the alternative earthing transformer to the 33KV switchboard had been isolated. This situation could have been potentially lethal to any one in the area if a fault had occurred whilst the earthing resistor was disconnected. Work was stopped and workmen were pulled out from work site.",HiPo Incident,779
"At 10:45 am a complete power shutdown was initiated, following the activation of an ESD push button located at a lifeboat station. As a consequence the rig was left with no power generation, no Uninterrupted Power System (UPS) and then with no possibility to maintain and monitor her position above the well. The yellow alert was raised shortly followed by the red alert. The Emergency Disconnect Sequence (EDS) was therefore initiated by the Driller, shearing the completion string and disconnecting the Lower Marine Riser Package (LMRP). The drillship started drifting until it was maintained in position by 2 tugboats (about 2 NM away from well location). ERC (Emergency Response Centre) was locally activated. On the drillship, dynamic positioning functions were restored at 7 pm.",HiPo Incident,784
"When starting gas injection in a converted well, three consecutive gas leaks occurred on the modified equipment. The last one led to automatic shut down. It was initiated by gas detector indications of 90 % and 105 % LEL. The first leak was due to an open pipe end in a bleed line to the flare. The second one was caused by a valve wrongly mounted in back-seat position with subsequent damage to gaskets. The third leak came from a flange where the bolt nuts had been tightened with an insufficient torque. Among main causes: Modified equipment was accepted for operation without being properly checked out. Mechanical completion had not been verified and no leak testing had been done _•À_•À_ There had been insufficient management follow-up of this one and a half year modification project.",HiPo Incident,788
"An explosion occurred in an oily water drain sump during hot work to extend the height of the atmospheric vent line. The sump and drain system had recently been tied into an existing online oily drainage system. A detailed investigation determined that the isolation plug fitted in the oily drain system was not of the correct specification to prevent the migration of hydrocarbon vapours into the hot work site. Gas testing was not conducted immediately prior to commencement of welding, and the sample tube used was not of sufficient length to sample the bottom of the sump. Recommendations from the investigation included the need for a Job Hazard Analysis to be performed and a review of isolation standards to ensure that stopple plugs of the correct specifications are used in future.",HiPo Incident,790
"The supply vessel was snatching deck cargo at the platform. After the loading and offloading operation, Platform Crane Operators and supply vessel crews were moving the mini-containers to the starboard side of the vessel to keep clear the emergency laydown area on the boat deck. At 1413 hrs, while lifting the 2nd mini container, the vessel rolled to portside causing the lifted container to swing towards the centre line of the deck and the pallet of chemicals. The injured person then moved from his position on the forward side of the container to the inboard side in an attempt to arrest its movement. The container gained extra momentum and pushed the injured person against the pallet of chemicals. The injured person sustained a slight fracture to his 5th rib on the left-hand side.",HiPo Incident,790
"A 14•À_•À_ high pressure header was isolated from the wells with all production going into the IP or LP parts of the system. All six of the 8•À_•À_ HP header inlet valves were closed. Each of these valves was fitted with a 1•À_•À_ bypass line and ball valve to allow for equalization to facilitate the opening of the valves when the wells need to be redirected. The ball valve was of a screwed body and connection type and the pipe-work was also connected using screwed fittings. The incident involved three of these 1•À_•À_ valves failing, two immediately and one a few moments later, with the body breaking apart at the screwed connection and the ball being ejected from the valve. This resulted in a significant gas release. The Production Operators made an immediate decision to shut down the gas plant.",HiPo Incident,791
"An explosion occurred in an oily water drain sump during hot work to extend the height of the atmospheric vent line. The sump and drain system had recently been tied into an existing online oily drainage system. A Detailed Investigation  determined that the isolation plug fitted in the oily drain system was not of the correct specification to prevent the migration of hydrocarbon vapours into the hot work site. Gas testing was not conducted immediately prior to commencement of welding, and the sample tube used was not of sufficient length to sample a the bottom of the sump. Recommendations from the investigation included the need for a Job Hazard Analysis to be performed and a review of isolation standards to ensure that stopple plugs of the correct specifications are used in future.",HiPo Incident,793
"Contractor workers were involved in cathodic protection work on a steel re-bar cage structure at the Quay wall. About 50 workers were working at this area. Some workers were on top of the cage structure, some were standing on planks supported on the cage wall at an intermediate height, while some were at the base of the cage on the Quay wall. At the same time a few steel-fixers were at the same location carrying out adjustment work to the steel cage and removing temporary supports. Unexpectedly, the re-bar cage slid and collapsed on the workers causing injury to 18 workers. A crane was used to lift some of the collapsed cage structure off the workers. A near by Medical emergency team was called. An ambulance arrived and the injured personnel were moved to Hospital for further treatment.",HiPo Incident,797
"A hydraulic jack, that was being used to lift a 36"" gas line lost hydraulic pressure, failed. A 2nd jack of a different style was tried, but failed to lift the pipe sufficiently. The piping sup'r asked a crane operator to lift the pipe using an 80 tonne crane. The crane was brought into position and the lift attempted.  Shortly after commencing, the crane overload alarms sounded &amp; the operator manually overrode them. Eventually the crane boom deformed and failed, though it could have collapsed, resulting in fatalities of those working in the area.  The crane operator had no training on this type of crane, overrode safety critical devices, site procedures did not identify competency deficiences in operator, inadequate management of change, leadership and assessement of needs and risks.",HiPo Incident,799
"During maintenance a 10_„ pipe end was left open. In this state a process shut down with flaring took place. This caused gas to flow through the open pipe end. The leak was not detected automatically because wind blowed the gas away. While flaring, the flame went out. A person was told to use a signal pistol to relight the flame and to shoot from a position in the area where gas was leaking out, not knowing about the leak. Being ready to shoot, he heard the gas leak. The leak was then stopped by closing a valve manually. The potential for material damage and personnel injury was high. Among main causes: Safety assessment prior to the maintenance job was insufficient - The maintenance operators believed they had blocked the free passage to the atmosphere,  but they had shut a wrong valve.",HiPo Incident,799
"On 22nd September 2011, at approximately 11:30 Hrs, an inspection was planned to assess the integrity of BCDS heaters. The crew obtained a work permit and associated certificates to execute the task. There was no Task Risk Assessment (TRA) performed and there was no formal working procedure for the installation of burners of the heater. The heater was isolated and eight burners were removed. After inspection and repairs, the heater was being assembled for installation. Our labourers were using chain block to lift the burner. Vane blades of the burner were used as lifting lug and due to excessive tension/stress lead to slippage of the burner and the burner fell down on to the erected scaffolding. Outcome: Two labourers were struck by the falling burner and sustained minor facial injuries. ",HiPo Incident,799
"While preparing installation of a X-mas tree a heavy object, a SUB weighing about 190 kilos, fell from the catwalk onto the drill floor and then through the mouse hole in the drill floor. The object continued to fall bout 14 meters down to a landing platform in the moonpool area where it hit a person working there. This person later died. Immediate causes were: Loose objects on the catwalk - Insufficient covering of the mouse hole - Poor communication between driller and deceased person. Underlying causes were:  A HAZOP for the lifting and installation of the X-mas tree had been carried out onshore, but the safety measures identified in the HAZOP were not implemented - A proper lifting and installation procedure had not been prepared - Weak safety awareness with both management and crew. ",HiPo Incident,799
"Wireline crew were in the process of rigging down the lubricator as work had finished. The Wireline Crew consisted of a Wireline Winch Operative, a Senior Wireline Operator, a Wireline Assistant and a Platform Crane Operator. At the time of the incident the crew were ready to cut the wire to release the tool so they could wind the wire back on the drum. The Wireline assistant at this point took the decision to cut the wire on his own (at NO time was the operative in the worksite on his own), which as explained is a task completed by them on a regular basis. The process to follow was to grab hold of the wire running to the drum, move the wire close to the deck, place one leg of the wire cutters resting up against the deck and, with the person's free hand, operate the cutters to cut the wire.",HiPo Incident,801
"Impairment of platform's HP flare system by filling with seawater:  One pair of bursting discs, protecting the shell side of a gas cooler, ruptured below set pressure while in service.  Seawater flowed through the bursting discs into the HP flare system.  Alarm did not activate. High level of water in the flare drum automatically initiated a production shutdown but not a depressurization. Seawater shutdown valve closed automatically, but did not prevent seawater being pumped into the gas cooler and on to the HP flare drum. Seawater pumps remained online. The HP flare drum and HP flare pipe work were filled with water before the source of the liquid was determined. The HP flare system was rendered unavailable for hydrocarbon blow down while full of seawater. Non-essential personnel were evacuated.  ",HiPo Incident,809
"The port crane was being used to lift the anchor chain J-Hook from the supply vessel to its storage hang off point at the rig port aft. The injured person was banksman and 2 other men were handling the load. The injured person was standing between the storage post and rail in front of the port aft anchor winch area and was in visual contact with the C.O. The injured person signalled to lift up slightly so the shackle on the shank of the J-Hook could slide onto the hang off pin. However, the J-Hook shackle came up tight under the pin and cracked the weld on the underside and the pin bent upwards. The reactive force caused the hook to swing towards and against the injured person's torso, pushing him against the hand rail behind him. The C.O. moved the J-Hook away lifting and landing it on the riser deck.",HiPo Incident,813
"Two members of the sites demolition team accidently cut into a 20 inch pipe containing gas at 1.7 barg. The pipe was cut on the wrong side of the isolation, the workscope having been misunderstood by the contractor. A site procedure relating to marking of pipes had not been followed. An estimated 162 kg of gas was released to the atmosphere. The gas was not ignited and was dispersed in an open area. There was no injury to personnel. The affected plant was shut down and depressured. At the time of the incident the 2 members of the demolition work party were positioned approximately 1m from the locus of the cut in a cherry picker basket. The 12v electrical control panel for the cherry picker located in a panel at the rear of the basket was not EX certified and so represented a potential source of ignition.",HiPo Incident,815
"A temporary pump, driven by an internal combustion engine, was being used for an offloading operation from a gasoline road tanker onto a fuel tank on a production facility. This pump was positioned inside the bundwall. When the operation was almost completed, the operator (with 8 years experience) went to look for the supervisor to obtain his conformity. When the operator came back, the fuel tank was overflowing and spilling petrol inside the bundwall. The operator rushed to shut the valve. At that moment, the pump engine ignited the pool of petrol, causing 2nd degree burns to the operator and to the tanker driver. The speedy action of personnel allowed rapid extinction of the fire, which otherwise could have propagated through the production plant and a series of oil tanks, leading to a mayor catastrophe.",HiPo Incident,817
"On 7th April 2010, in a Drilling rig, at around 03:45hrs, the rig crew was testing the BOP Blind Shear ram. After testing to 15,000 PSI, the night pusher bled the pressure back to the testing unit to zero and asked the floor man to close the manual valve next to the check valve. The IP was asked to disconnect the quick latch coupling of the test hose from the hammer union hook up to the lower kill line. While doing so, he slipped and the hose detached from the quick latch connection. As a result the fluid came out through the broken quick latch fitting of the hammer union like a jet and hit the right hand arm above the elbow. It appears that the pressure was not bled fully and there was trapped pressure behind the fitting. First Aid was administered to the IP, and he was taken to the hospital for further treatment.",HiPo Incident,826
